Timestep,EvacueeID,X,Y,Active,Evacuated,Rescued,Stuck
134,2,44,25,False,True,True,False
134,3,12,31,True,False,False,False
134,4,27,31,True,False,False,False
134,5,42,31,True,False,False,False
135,0,5,25,False,True,True,False
135,1,27,19,True,False,False,False
135,2,44,25,False,True,True,False
135,3,12,31,True,False,False,False
135,4,27,31,True,False,False,False
135,5,42,31,True,False,False,False
136,0,5,25,False,True,True,False
136,1,27,19,True,False,False,False
136,2,44,25,False,True,True,False
136,3,12,31,True,False,False,False
136,4,27,31,True,False,False,False
136,5,42,31,True,False,False,False
137,0,5,25,False,True,True,False
137,1,27,19,True,False,False,False
137,2,44,25,False,True,True,False
137,3,12,31,True,False,False,False
137,4,27,31,True,False,False,False
137,5,42,31,True,False,False,False
138,0,5,25,False,True,True,False
138,1,27,19,True,False,False,False
138,2,44,25,False,True,True,False
138,3,12,31,True,False,False,False
138,4,27,31,True,False,False,False
138,5,42,31,True,False,False,False
139,0,5,25,False,True,True,False
139,1,27,19,True,False,False,False
139,2,44,25,False,True,True,False
139,3,12,31,True,False,False,False
139,4,27,31,True,False,False,False
139,5,42,31,True,False,False,False
140,0,5,25,False,True,True,False
140,1,27,19,True,False,False,False
140,2,44,25,False,True,True,False
140,3,12,31,True,False,False,False
140,4,27,31,True,False,False,False
140,5,42,31,True,False,False,False
141,0,5,25,False,True,True,False
141,1,27,19,True,False,False,False
141,2,44,25,False,True,True,False
141,3,12,31,True,False,False,False
141,4,27,31,True,False,False,False
141,5,42,31,True,False,False,False
142,0,5,25,False,True,True,False
142,1,27,19,True,False,False,False
142,2,44,25,False,True,True,False
142,3,12,31,True,False,False,False
142,4,27,31,True,False,False,False
142,5,42,31,True,False,False,False
143,0,5,25,False,True,True,False
143,1,27,19,True,False,False,False
143,2,44,25,False,True,True,False
143,3,12,31,True,False,False,False
143,4,27,31,True,False,False,False
143,5,42,31,True,False,False,False
144,0,5,25,False,True,True,False
144,1,27,19,True,False,False,False
144,2,44,25,False,True,True,False
144,3,12,31,True,False,False,False
144,4,27,31,True,False,False,False
144,5,42,31,True,False,False,False
145,0,5,25,False,True,True,False
